M,S
1952.03906544305,2125.61100681087
1842.54383612837,2166.40159174198
1455.37232078809,1721.28759305753
1465.29732645579,1581.17690507011
2656.94401609271,2887.32856779833
1988.27797463844,2266.53898959649
1692.79588780798,1772.77646273639
2504.2283019125,2646.13865087906
1813.56278658905,1847.91757452471
1403.38524325813,1554.72449345559
1915.83758015855,2019.491414275
1621.37562522485,1661.4565565336
1650.83817080917,1770.64725877032
1704.7948392316,1878.38103767738
1676.54427806735,1717.41050523469
1637.41403289625,1737.02106521669
2156.3346415588,2377.11345577131
1987.56695563443,2172.75152158262
1897.52324964051,2280.02910794397
1812.58641105476,1907.48313366862
1896.23132879609,1952.48271332042
1968.61976375756,2046.30059088867
2198.41641582073,2419.12698250517
1902.45938652134,2316.68623719626
1978.39689539248,2349.622639169
1549.80277121958,1636.38070447617
1593.88212759976,1666.95691354434
2075.62671947674,2231.06959723668
1704.25835107574,1917.20032324537
2302.81904564624,2498.71028721052
2356.70277393763,2719.91397947285
1629.09621521019,1771.93332095533
1298.49596318891,1437.36264469218
1997.12129756572,2090.42960652201
1689.04242224818,1897.87868355434
1551.63247605739,1775.46104091698
1443.67820359042,1651.98969571979
1478.56680393798,1630.47887229175
1554.10583474576,1720.05518746575
